"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031346","GO:0031346","positive regulation of cell projection organization","23/456","360/18888",0.0638888888888889,2.64634502923977,4.96061493794518,2.39475173896026e-05,0.0846282916933133,0.0807351434475782,"DPYSL3/MARK4/PLXNA2/DBN1/ARHGEF7/ELAVL4/MAP3K13/DDR1/KCTD17/RAB21/ROR2/FZD1/DYNLL1/PLXNA3/EPHB2/SEMA4D/DLG4/ROBO3/BRAF/CDC42/ZMYND8/PUM2/EFNA5",23
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","17/456","243/18888",0.0699588477366255,2.89776911414338,4.68320315709835,9.17613694288056e-05,0.0846282916933133,0.0807351434475782,"SPAG6/CDK5/RIMS2/CXCR4/MAP3K13/DDR1/OLFM1/RAB21/PLXNA3/SEMA4D/LHX2/NDN/BIN3/TRIM28/PUM2/EFNA5/TTL",17
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","16/456","221/18888",0.0723981900452489,2.99880924029531,4.70119106642135,9.84329173994207e-05,0.0846282916933133,0.0807351434475782,"SNX9/CDK5/RIMS2/SNCG/SCRN1/SV2A/AP3B2/PPFIA3/GRIPAP1/BRSK1/ERC2/SLC17A6/BRAF/SYNE1/PICALM/SNCA",16
"GO:0099504","GO:0099504","synaptic vesicle cycle","15/456","199/18888",0.0753768844221105,3.12218989685268,4.73364221611297,0.000103091118489666,0.0846282916933133,0.0807351434475782,"SNX9/CDK5/RIMS2/SNCG/SCRN1/SV2A/AP3B2/PPFIA3/GRIPAP1/BRSK1/ERC2/SLC17A6/BRAF/PICALM/SNCA",15
"GO:0050769","GO:0050769","positive regulation of neurogenesis","17/456","246/18888",0.0691056910569106,2.86243046640993,4.62465191086535,0.000106584750243468,0.0846282916933133,0.0807351434475782,"XRCC5/KRAS/PLXNA2/DBN1/CXCR4/MAP3K13/RAB21/PLXNA3/EPHB2/SEMA4D/QKI/NUMBL/HDAC2/NAP1L1/BRAF/ID2/EFNA5",17
"GO:0016358","GO:0016358","dendrite development","16/456","235/18888",0.0680851063829787,2.82015677491601,4.41617284727826,0.000200125187485329,0.108616581872303,0.103619902313813,"MEF2C/DBN1/CDK5/ACTL6B/ELAVL4/RAB21/EPHB2/SEMA4D/TAOK2/GPR37/DLG4/HDAC2/CDC42/SYNE1/ZMYND8/PICALM",16
"GO:0034504","GO:0034504","protein localization to nucleus","19/456","311/18888",0.0610932475884244,2.53054662379421,4.28071829010423,0.000215070730541082,0.108616581872303,0.103619902313813,"IPO8/CDK5/TCF7L2/TMEM147/MFHAS1/MAGED1/NGFR/CNEP1R1/CIZ1/LMNB1/TNPO2/ORMDL3/YWHAE/SYNE1/TRIM28/RAP1GDS1/YWHAZ/CCT7/LIMK2",19
"GO:0048169","GO:0048169","regulation of long-term neuronal synaptic plasticity","5/456","25/18888",0.2,8.28421052631579,5.73224562816769,0.00028589674579627,0.108616581872303,0.103619902313813,"KRAS/SYNGR1/EPHB2/DLG4/SNCA",5
"GO:0009416","GO:0009416","response to light stimulus","19/456","321/18888",0.059190031152648,2.45171339563863,4.12610439970459,0.000320429550749767,0.108616581872303,0.103619902313813,"DDHD2/RIC8A/KRAS/CDK5/PTPRK/MFAP4/CCDC66/ABCC8/TIMP1/RHBDD1/BRSK1/CEP250/RHNO1/BRAF/CRTC1/SYNE1/ID2/PCNA/FBXL17",19
"GO:0022604","GO:0022604","regulation of cell morphogenesis","16/456","246/18888",0.0650406504065041,2.69405220367993,4.20654725218057,0.000334865106665868,0.108616581872303,0.103619902313813,"PLXNA2/DBN1/RIMS2/ZRANB1/ARHGEF7/CXCR4/MAP3K13/RAB21/PLXNA3/EPHB2/SEMA4D/TAOK2/DLG4/ZMYM6/TPM1/EFNA5",16
"GO:0030901","GO:0030901","midbrain development","9/456","91/18888",0.0989010989010989,4.09658762290341,4.65733502128149,0.000350377455651279,0.108616581872303,0.103619902313813,"UCHL5/EN1/FZD1/DYNLL1/HSPA5/UQCRQ/CDC42/YWHAE/WLS",9
"GO:0010975","GO:0010975","regulation of neuron projection development","24/456","460/18888",0.0521739130434783,2.16109839816934,3.96539560204963,0.000365029912324344,0.108616581872303,0.103619902313813,"ACAP3/DPYSL3/PLXNA2/DBN1/CDK5/ELAVL4/MAP3K13/DDR1/INPP5J/RAB21/ROR2/CRMP1/NCS1/FZD1/PLXNA3/EPHB2/SEMA4D/BRSK1/HDAC2/ROBO3/BRAF/SYNE1/PUM2/EFNA5",24
"GO:1990138","GO:1990138","neuron projection extension","13/456","177/18888",0.0734463276836158,3.04222420457925,4.29357678003234,0.000378299239216487,0.108616581872303,0.103619902313813,"SPAG6/CDK5/RIMS2/CXCR4/MAP3K13/DDR1/OLFM1/RAB21/PLXNA3/SEMA4D/LHX2/NDN/TTL",13
"GO:0050803","GO:0050803","regulation of synapse structure or activity","16/456","249/18888",0.0642570281124498,2.66159374339463,4.15136479684054,0.000383030767307868,0.108616581872303,0.103619902313813,"MEF2C/DBN1/CDK5/ROR2/PRNP/LRFN1/FZD1/EPHB2/SEMA4D/GRIPAP1/SLC17A6/CDC42/ZMYND8/YWHAZ/EFNA5/SNCA",16
"GO:0048168","GO:0048168","regulation of neuronal synaptic plasticity","7/456","58/18888",0.120689655172414,4.99909255898367,4.79764349793447,0.000474106985095615,0.12548031538864,0.11970785490344,"KRAS/DBN1/SYNGR1/EPHB2/PPFIA3/DLG4/SNCA",7
"GO:0048813","GO:0048813","dendrite morphogenesis","11/456","140/18888",0.0785714285714286,3.25451127819549,4.21130444042211,0.000597757329023192,0.143028906522335,0.136449159662564,"DBN1/CDK5/ELAVL4/RAB21/EPHB2/SEMA4D/TAOK2/DLG4/CDC42/SYNE1/PICALM",11
"GO:2000310","GO:2000310","regulation of NMDA receptor activity","4/456","17/18888",0.235294117647059,9.74613003095975,5.67440871459707,0.000621528922243662,0.143028906522335,0.136449159662564,"DAPK1/MEF2C/EPHB2/DLG4",4
"GO:0008038","GO:0008038","neuron recognition","6/456","45/18888",0.133333333333333,5.52280701754386,4.77767903882695,0.000702669082124328,0.143028906522335,0.136449159662564,"CNTN2/CXCR4/EPHB2/ROBO3/NDN/NCAM2",6
"GO:0048588","GO:0048588","developmental cell growth","15/456","238/18888",0.0630252100840336,2.61057054400708,3.9328419441157,0.000705295700471127,0.143028906522335,0.136449159662564,"SPAG6/CDK5/RIMS2/CXCR4/MAP3K13/DDR1/OLFM1/RAB21/PLXNA3/SEMA4D/LHX2/NDN/PUM2/EFNA5/TTL",15
"GO:0007269","GO:0007269","neurotransmitter secretion","11/456","144/18888",0.0763888888888889,3.1641081871345,4.10021619718526,0.000756576079841067,0.143028906522335,0.136449159662564,"MEF2C/CDK5/RIMS2/SNCG/ABCC8/SV2A/PPFIA3/BRSK1/ERC2/BRAF/SNCA",11
"GO:0099643","GO:0099643","signal release from synapse","11/456","144/18888",0.0763888888888889,3.1641081871345,4.10021619718526,0.000756576079841067,0.143028906522335,0.136449159662564,"MEF2C/CDK5/RIMS2/SNCG/ABCC8/SV2A/PPFIA3/BRSK1/ERC2/BRAF/SNCA",11
"GO:0048167","GO:0048167","regulation of synaptic plasticity","14/456","216/18888",0.0648148148148148,2.68469785575049,3.9167978699326,0.000801351236889274,0.144269212699295,0.137632408137893,"KRAS/MEF2C/DBN1/CDK5/RIMS2/SYNGR1/PRNP/EPHB2/PPFIA3/BRSK1/ERC2/DLG4/BRAF/SNCA",14
"GO:0051962","GO:0051962","positive regulation of nervous system development","17/456","294/18888",0.0578231292517007,2.39509488005729,3.79200304484226,0.000845227184950086,0.144269212699295,0.137632408137893,"XRCC5/KRAS/PLXNA2/DBN1/CXCR4/MAP3K13/RAB21/PLXNA3/EPHB2/SEMA4D/QKI/NUMBL/HDAC2/NAP1L1/BRAF/ID2/EFNA5",17
"GO:0050807","GO:0050807","regulation of synapse organization","15/456","243/18888",0.0617283950617284,2.55685510071475,3.84191557786155,0.000872156449567529,0.144269212699295,0.137632408137893,"MEF2C/DBN1/CDK5/ROR2/PRNP/LRFN1/FZD1/EPHB2/SEMA4D/GRIPAP1/CDC42/ZMYND8/YWHAZ/EFNA5/SNCA",15
"GO:0050808","GO:0050808","synapse organization","24/456","493/18888",0.0486815415821501,2.01644069606064,3.59694079196912,0.00096597124275583,0.150845237083729,0.143905916220935,"CNTN2/MEF2C/DBN1/CDK5/SNCG/SEZ6L/ROR2/PRNP/LRFN1/FZD1/EPHB2/SEMA4D/PPFIA3/GRIPAP1/PCDHB2/ERC2/DLG4/CNKSR2/CDC42/CACNB3/ZMYND8/YWHAZ/EFNA5/SNCA",24
"GO:0009267","GO:0009267","cellular response to starvation","12/456","172/18888",0.0697674418604651,2.88984088127295,3.91616178633218,0.000987903315913591,0.150845237083729,0.143905916220935,"RRAGA/RALB/UCP2/GABARAP/RRAGC/RPTOR/SLC38A3/HSPA5/TBC1D7/WDR59/JMY/YWHAZ",12
"GO:0032507","GO:0032507","maintenance of protein location in cell","7/456","66/18888",0.106060606060606,4.39314194577352,4.34328963747905,0.00104102871725377,0.151261942750408,0.144303452211578,"GSN/DBN1/CDK5/TMSB4X/CIZ1/HSPA5/SYNE1",7
"GO:0008542","GO:0008542","visual learning","6/456","49/18888",0.122448979591837,5.07196562835661,4.48901339191634,0.00111237704196789,0.151261942750408,0.144303452211578,"DDHD2/RIC8A/KRAS/CDK5/ABCC8/BRAF",6
"GO:0098815","GO:0098815","modulation of excitatory postsynaptic potential","6/456","49/18888",0.122448979591837,5.07196562835661,4.48901339191634,0.00111237704196789,0.151261942750408,0.144303452211578,"RIMS2/TMEM25/CELF4/DLG4/SYNE1/ZMYND8",6
"GO:0060079","GO:0060079","excitatory postsynaptic potential","9/456","107/18888",0.0841121495327103,3.48401377274963,4.05288436284255,0.00114303735075875,0.151261942750408,0.144303452211578,"MEF2C/CDK5/RIMS2/TMEM25/CELF4/DLG4/SYNE1/ZMYND8/SNCA",9
"GO:0008306","GO:0008306","associative learning","8/456","87/18888",0.0919540229885057,3.80883242589232,4.13021502563938,0.00119812760795242,0.152151680911751,0.145152259822479,"DDHD2/RIC8A/KRAS/CDK5/ELAVL4/ABCC8/BRSK1/BRAF",8
"GO:0007612","GO:0007612","learning","11/456","153/18888",0.0718954248366013,2.97798417612659,3.8638420113097,0.00124461393072599,0.152151680911751,0.145152259822479,"DDHD2/RIC8A/KRAS/CDK5/ELAVL4/EN1/ABCC8/EPHB2/BRSK1/DLG4/BRAF",11
"GO:0045185","GO:0045185","maintenance of protein location","8/456","88/18888",0.0909090909090909,3.76555023923445,4.08998433263162,0.00129072281907191,0.152151680911751,0.145152259822479,"GSN/DBN1/CDK5/TMSB4X/CIZ1/HSPA5/NBL1/SYNE1",8
"GO:0061387","GO:0061387","regulation of extent of cell growth","9/456","109/18888",0.0825688073394495,3.42008691453404,3.98552614138799,0.00130306225465983,0.152151680911751,0.145152259822479,"CDK5/MAP3K13/OLFM1/RAB21/PLXNA3/SEMA4D/PUM2/EFNA5/TTL",9
"GO:0009749","GO:0009749","response to glucose","13/456","203/18888",0.0640394088669951,2.65257972517501,3.72341606960281,0.00135801414159659,0.154037604061099,0.146951425006452,"UCP2/TCF7L2/SLC39A14/ADCY5/ABCC8/RPTOR/NDUFAF2/DYNLL1/PCK2/EIF2B2/NEUROD1/ACVR2B/EFNA5",13
"GO:0050767","GO:0050767","regulation of neurogenesis","20/456","393/18888",0.0508905852417303,2.10794160974956,3.49111102844819,0.00148551969601558,0.163819810921718,0.156283621820587,"XRCC5/KRAS/PLXNA2/DBN1/CDK5/CXCR4/MAP3K13/ABCC8/RAB21/PLXNA3/EPHB2/SEMA4D/QKI/LHX2/NUMBL/HDAC2/NAP1L1/BRAF/ID2/EFNA5",20
